,COM,MFH,SFH,APPRT
5856,0.16226280496504494,0.16131322094055014,0.1217347514301829,0.1217347514301829
5857,0.16361820516478814,0.15433303756285122,0.12189187011522037,0.12189187011522037
5858,0.17537451847624483,0.15690624075717244,0.1399806623156877,0.1399806623156877
5859,0.2145099158225139,0.26548358473824313,0.18155668358714044,0.18155668358714044
5860,0.28683121700670566,0.38361431529133394,0.3153372008701958,0.3153372008701958
5861,0.3392780710515052,0.37060041407867494,0.3900974941584079,0.3900974941584079
5862,0.3509059780282494,0.4048802129547471,0.3623197163806301,0.3623197163806301
5863,0.2770295334569839,0.36353149955634434,0.30502779792119894,0.30502779792119894
5864,0.2576544442859181,0.3638568470866608,0.2994722423656434,0.2994722423656434
5865,0.24467113710943075,0.34087548062703343,0.2723390540649424,0.2723390540649424
5866,0.2243258667427593,0.32691511387163563,0.2663121424542745,0.2663121424542745
