Hours,COM,MFH,SFH,APPRT
4348,0.0851476672849194,0.11045548654244305,0.08680605914108452,0.08680605914108452
4349,0.10439435012127266,0.0958444247264123,0.12600918540004835,0.12600918540004835
4350,0.10904551291197033,0.11963916001183081,0.1103758762388204,0.1103758762388204
4351,0.07039520616350406,0.10143448683821356,0.08331721859640642,0.08331721859640642
4352,0.06364673990583536,0.10347530316474417,0.08053944081862864,0.08053944081862864
4353,0.06180624910828934,0.09445430346051464,0.07244581419708324,0.07244581419708324
4354,0.051633613924953636,0.08747412008281574,0.07070139392474417,0.07070139392474417
4355,0.04966471679269511,0.08849452824608103,0.06617919587462735,0.06617919587462735
4356,0.035554287344842346,0.07829044661342797,0.05332366449117719,0.05332366449117719
4357,0.03358539021258382,0.07845312037858622,0.05173636290387559,0.05173636290387559
4358,0.030646311884719647,0.06722863058266786,0.04737128353879623,0.04737128353879623
4359,0.025124839492081608,0.06620822241940255,0.053720489888002584,0.053720489888002584
4360,0.026965330289627623,0.07624963028689738,0.06379824349367497,0.06379824349367497
4361,0.028805821087173635,0.0813516711032239,0.062210941906373385,0.062210941906373385
4362,0.038621772007419036,0.0883318544809228,0.07006486181613085,0.07006486181613085
4363,0.043529747467541735,0.10143448683821356,0.07165216340343245,0.07165216340343245
4364,0.038008275074903695,0.09445430346051464,0.05903633873177021,0.05903633873177021
4365,0.03322870594949351,0.0803312629399586,0.03491257755217146,0.03491257755217146
4366,0.018504779569125412,0.043064182194616975,0.011822173878011441,0.011822173878011441
4367,0.012983307176487373,0.022656018929310854,0.0058697929256304885,0.0058697929256304885
4368,0.02341275502924811,0.024696835255841466,0.006663443719281282,0.006663443719281282
4369,0.025253245826794123,0.019757468204673174,0.00801103859479494,0.00801103859479494
4370,0.031131402482522472,0.02061520260278024,0.014517363629038755,0.014517363629038755
4371,0.048437722927664434,0.07286305826678498,0.03578075900410926,0.03578075900410926
4372,0.08392067341988871,0.12409050576752441,0.0981488195955201,0.0981488195955201
4373,0.11088600370951633,0.11817509612540669,0.13814559664813472,0.13814559664813472
4374,0.11492366956769867,0.13719313812481515,0.12211546209008137,0.12211546209008137
4375,0.08705949493508347,0.11506950606329489,0.094659979050842,0.094659979050842
4376,0.07737195034955058,0.1171103223898255,0.09188220127306422,0.09188220127306422
4377,0.07320587815665572,0.10808932268559598,0.07871243251953912,0.07871243251953912
4378,0.06180624910828934,0.10110913930789708,0.07696801224720007,0.07696801224720007
4379,0.059837351976030816,0.10110913930789708,0.07244581419708324,0.07244581419708324
4380,0.04621201312598089,0.08612836438923395,0.06212835387962291,0.06212835387962291
4381,0.03885004993579683,0.08816918071576457,0.05760615582950608,0.05760615582950608
4382,0.03468397774290198,0.07796509908311151,0.05324107646442672,0.05324107646442672
4383,0.029034099015551436,0.0759242827565809,0.06212835387962291,0.06212835387962291
4384,0.03271508061064346,0.08596569062407572,0.07006486181613085,0.07006486181613085
4385,0.032843486945355965,0.09498669032830523,0.07101563129481911,0.07101563129481911
4386,0.041432444000570695,0.10196687370600416,0.07847272580775119,0.07847272580775119
4387,0.04621201312598089,0.11506950606329489,0.08045685279187817,0.08045685279187817
4388,0.04130403766585818,0.11098787341023365,0.06744420272339055,0.06744420272339055
4389,0.0348123840776145,0.09106773144040226,0.04078237047780195,0.04078237047780195
4390,0.018376373234412897,0.05278024253179533,0.014757070340826687,0.014757070340826687
4391,0.014695391639320873,0.025554569653948533,0.008407863991620338,0.008407863991620338
4392,0.025124839492081608,0.025717243419106774,0.00920151478527113,0.00920151478527113
4393,0.024639748894278786,0.023676427092576162,0.00801103859479494,0.00801103859479494
4394,0.032843486945355965,0.023513753327417924,0.017055434695028605,0.017055434695028605
4395,0.05014980739049794,0.07576160899142265,0.0387156554669245,0.0387156554669245
